gene_id	gene_name	Control_R1	Control_R2	Control_R3	VSOP_R1	VSOP_R2	VSOP_R3
ENSG00000008853.16	RHOBTB2	1100	1338.001	1062	1469	1465	1309
ENSG00000008869.12	HEATR5B	1944	2217.999	2104.999	1938	1845	2195
ENSG00000008952.17	SEC62	12452	12304.001	9536	13847	11119.001	12161
ENSG00000008988.9	RPS20	15727.073	17593.033	15638.486	15701.925	14495.918	17933.432
ENSG00000009307.16	CSDE1	38205.001	42082.001	37344	39095.998	35205	41002.999
ENSG00000009335.18	UBE3C	7918	8411.999	7652.001	7980	7761	8389
ENSG00000009413.16	REV3L	1822.999	1799	1720.001	1644	1272	1960
ENSG00000009694.13	TENM1	0	0	0	1	0	1
ENSG00000009709.12	PAX7	0	0	0	0	0	0
ENSG00000009724.17	MASP2	0	0	2	0	1	0
ENSG00000009765.14	IYD	0	0	0	0	1	0
ENSG00000009780.15	FAM76A	619	728	659	740	706	755
ENSG00000009790.15	TRAF3IP3	444.001	884	1548.999	401	836	1249.999
ENSG00000009830.11	POMT2	764.001	651.001	742	956.001	571.999	872
ENSG00000009844.16	VTA1	3077	3352	3183.999	2939	2964.001	3373.999
ENSG00000009950.16	MLXIPL	301.999	359	168	504.001	447	217.999
ENSG00000009954.11	BAZ1B	8106	8083	7464	8373	7414	8565
ENSG00000010017.13	RANBP9	3099	3206	3082	3178	2800	3496
ENSG00000010030.14	ETV7	3	3	4	4	1	8
ENSG00000010072.16	SPRTN	725	739	724.999	730	681.999	838
ENSG00000010165.20	EEF1AKNMT	2871.001	3327.999	2734	3211	3030.999	3108.999
ENSG00000010219.13	DYRK4	237	199.999	225	254.999	207	277.999
ENSG00000010244.18	ZNF207	12887	13272.999	12928	13549.999	12459	14531.999
ENSG00000010256.11	UQCRC1	15166	16875	13755.001	15172	14089.002	15108
ENSG00000010270.13	STARD3NL	2650	2696	2678.999	3127.001	2670	3274
ENSG00000010278.14	CD9	15467.999	22676.001	6742	16971	18732	8510
ENSG00000010282.15	HHATL	0	1	1	2	0	1
ENSG00000010292.13	NCAPD2	3276.001	3764.001	2957.998	3267.001	3151.999	3006.001
ENSG00000010295.19	IFFO1	3937.001	4874.585	4959.001	5066.001	3994	5548.998
ENSG00000010310.9	GIPR	14	63	9	35.001	69	15
ENSG00000010318.21	PHF7	392.999	387	318.999	504	335	440
ENSG00000010319.7	SEMA3G	198	183	100	233	227	129
ENSG00000010322.16	NISCH	12418	10472.002	10175.001	16434.999	10193	12060
ENSG00000010327.10	STAB1	72969.999	33462	52951	81744.999	25286	61206
ENSG00000010361.14	FUZ	322.001	339.999	295.001	369	321	330
ENSG00000010379.16	SLC6A13	10	7	9	9	9	8
ENSG00000010404.18	IDS	12750.228	14020.554	15166.284	12637.988	11860.156	15943.902
ENSG00000010438.16	PRSS3	6	10	2.306	7	24	7
ENSG00000010539.11	ZNF200	905.001	1008.001	1101	945.999	927	1179.999
ENSG00000010610.10	CD4	1655	3016	5298.001	1377	2574.001	4507
ENSG00000010626.15	LRRC23	296.948	467.314	405.517	334.512	391.231	398.265
ENSG00000010671.15	BTK	6774.999	7418.999	8737.999	6918.999	6102.001	8714
ENSG00000010704.18	HFE	678.999	654.001	641.999	912.001	850	1113.001
ENSG00000010803.16	SCMH1	189.999	188.999	205	211.999	172	250.999
ENSG00000010810.17	FYN	1494	2315.001	1774.001	1369	1594.001	1655.999
ENSG00000010818.10	HIVEP2	1475	1771.999	1628	1392	1658	1524
ENSG00000010932.17	FMO1	0	0	0	0	0	0
ENSG00000011007.12	ELOA	5790	5900.001	5854.001	5977.001	5475	6627
ENSG00000011009.11	LYPLA2	3874	4404.996	4156.985	4625.983	4089.996	4466.133
ENSG00000011021.23	CLCN6	1905.999	2579	2283	2931	2361.001	2843.999
ENSG00000011028.14	MRC2	1450	1819	1336.999	786	900	690
ENSG00000011052.21	NME1-NME2	75.071	61.044	73.878	136.229	87.914	71.847
ENSG00000011083.9	SLC6A7	1	5	1	2	4	0
ENSG00000011105.14	TSPAN9	10	17	28	9	22	24
ENSG00000011114.15	BTBD7	3149.981	3653.975	3101	3304.961	3171.882	3456.271
ENSG00000011132.12	APBA3	1047.423	1537.848	1085.999	1403.798	1261.927	1193.453
ENSG00000011143.17	MKS1	317	335.999	364	372	320.001	379.999
ENSG00000011198.10	ABHD5	2388	2386	1720	2633	2207.998	2358.001
ENSG00000011201.12	ANOS1	5	9	24	0	2	27
ENSG00000011243.18	AKAP8L	2978.001	3512.001	3319.999	3445.998	2951.001	3570
ENSG00000011258.16	MBTD1	1371	1459.001	1533	1320	1188	1392
ENSG00000011260.14	UTP18	4058.984	4481	4279.981	4497	4225.999	4969
ENSG00000011275.18	RNF216	4434.432	5698.794	4978.353	4938.563	4743.579	5304.624
ENSG00000011295.16	TTC19	1195	937.001	1305.999	1249	794	1470
ENSG00000011304.20	PTBP1	19719	20381.001	20631.815	23060.001	19855.001	23503
ENSG00000011332.19	DPF1	1	0	0	0	0	0
ENSG00000011347.10	SYT7	10	43	5	29	51	7
ENSG00000011376.12	LARS2	2232	1777.999	1830	2581	2001	2291.001
ENSG00000011405.13	PIK3C2A	3052	3321	3060	2863	2837	3154
ENSG00000011422.12	PLAUR	25895.002	28021.999	22822.999	33432	28664.002	28440.999
ENSG00000011426.11	ANLN	25	52	16	12	25	25
ENSG00000011451.20	WIZ	2615	2501.001	2957.001	3091	2472.001	3176.999
ENSG00000011454.17	RABGAP1	2441	2684	2314.999	2599	2218	2596.999
ENSG00000011465.17	DCN	0	1	0	1	1	0
ENSG00000011478.12	QPCTL	375	427	322	485	345	426
ENSG00000011485.15	PPP5C	2446.999	2695.001	2512	2633.999	2466.964	2965.999
ENSG00000011523.14	CEP68	697.999	625	757	787.999	634.001	781.001
ENSG00000011566.15	MAP4K3	1821.999	2303	1663.998	1909.002	1961.999	1719.999
ENSG00000011590.14	ZBTB32	0	0	2	0	0	4
ENSG00000011600.12	TYROBP	40632	44801.001	42181	37737	36504.999	44590.999
ENSG00000011638.10	TMEM159	283.001	392.001	271	275	299.999	284
ENSG00000011677.13	GABRA3	0	0	0	0	0	0
ENSG00000012048.23	BRCA1	790.999	843	594	736.999	715.001	704
ENSG00000012061.15	ERCC1	2859.998	3067.999	3704.001	3176.999	3122.001	3930
ENSG00000012124.17	CD22	433.001	687	226.001	1011.001	888.999	821
ENSG00000012171.20	SEMA3B	40	98.999	62	42	55.999	62
ENSG00000012174.12	MBTPS2	1196.535	967	1138.869	1145	1061	1349.676
ENSG00000012211.13	PRICKLE3	926	1040.001	965	1037	943	1097
ENSG00000012223.13	LTF	5	3	0	0	5	1
ENSG00000012232.9	EXTL3	2544	2717.999	2470	2407	2380	2564
ENSG00000012504.15	NR1H4	0	0	0	0	0	0
ENSG00000012660.14	ELOVL5	4853.999	5753.999	6194.999	4961	5188	6337
ENSG00000012779.11	ALOX5	5346.999	3012.001	11417	3999.002	1954	9592.999
ENSG00000012817.15	KDM5D	2918.999	0	3209	3674	0	3558
ENSG00000012822.16	CALCOCO1	4678	7395.999	4508.001	6078.999	5847.001	5031.999
ENSG00000012963.15	UBR7	2121.115	2330.805	2043	2248.997	2085.215	2195.401
ENSG00000012983.11	MAP4K5	935	978	1246.999	954	952	1257
ENSG00000013016.16	EHD3	115	125	63	240	204	81
ENSG00000013275.8	PSMC4	5017	5149	5141	5617	5041.999	5974.001
ENSG00000013288.9	MAN2B2	5284	7115	5423	5941	6328	6012
ENSG00000013293.6	SLC7A14	1	1	2	0	0	0
ENSG00000013297.11	CLDN11	6.002	4	10	11.001	3	8.611
ENSG00000013306.16	SLC25A39	3153	3492	3595.001	3662	3108.999	4047.998
ENSG00000013364.19	MVP	11843.508	12469.492	10486.66	12270.674	11614.482	10545.054
ENSG00000013374.16	NUB1	3095	3865.001	3571.001	3178	3184.999	3754
ENSG00000013375.16	PGM3	1126.999	1322.999	1147.999	1266.002	1209	1345
ENSG00000013392.8	RWDD2A	165	143	160	167	140	171
ENSG00000013441.16	CLK1	3795.001	4880.999	3994.002	4521	4150	4376.998
ENSG00000013503.10	POLR3B	754	575	740	733	572	763
ENSG00000013523.10	ANGEL1	2511.54	2926.599	2466.673	3112.484	2598.552	2818.784
ENSG00000013561.18	RNF14	2457.99	2818.999	2543.964	2860.999	2656	3039.992
ENSG00000013563.14	DNASE1L1	3100.001	3750	3255	3136	3033.999	3123
ENSG00000013573.17	DDX11	539.067	2960.639	1557.126	673.594	2471.489	1766.116
ENSG00000013583.10	HEBP1	2671.001	2910.001	2240.999	4492	3454.999	4394.001
ENSG00000013588.8	GPRC5A	3	5	3	3	1	2
ENSG00000013619.14	MAMLD1	347	666	322	352	579	407
ENSG00000013725.14	CD6	87.001	235	32	137	234	48
ENSG00000013810.19	TACC3	2795	2919	3261.019	2785.141	2402.001	3376
ENSG00000014123.10	UFL1	2900	3053	2970	2779	2687	3113
ENSG00000014138.9	POLA2	589.567	820.495	860.235	698.559	656.42	803.959
ENSG00000014164.7	ZC3H3	2090	2241	1922	2632	1981	2465
ENSG00000014216.15	CAPN1	7626	7889.999	7410.002	8512	7404.999	8898.001
ENSG00000014257.16	ACPP	1512.001	3953	2439	955.999	2916	1640.001
ENSG00000014641.20	MDH1	8200.999	9206.999	7543	8158.999	7813	8315
ENSG00000014824.14	SLC30A9	2836	3043.999	3046	2810	2576	3429
ENSG00000014914.21	MTMR11	183.001	289	181.999	236.001	264.999	202.001
ENSG00000014919.12	COX15	2036.561	2020.457	2423.531	2116.56	1795.63	2455.517
ENSG00000015133.19	CCDC88C	942.999	1135.721	1018.986	1593.002	1247	1717
ENSG00000015153.14	YAF2	692	792	760.998	613	717	785.001
ENSG00000015171.19	ZMYND11	2294.999	1843.001	2745.998	2311	1745.999	3093.998
ENSG00000015285.11	WAS	6325.001	6938	8179	6492.999	6119.999	8805
ENSG00000015413.9	DPEP1	0	0	0	0	0	0
ENSG00000015475.18	BID	5554	7697.001	7409.001	5751.998	7326	7868.999
ENSG00000015479.19	MATR3	10305.803	11122.592	10634.519	10582.035	10693.455	13059.682
ENSG00000015520.14	NPC1L1	0	5	1	0	0	1
ENSG00000015532.10	XYLT2	740	835	912	749	753	935
ENSG00000015568.13	RGPD5	78.953	142.582	146.913	82.858	148.102	300.202
ENSG00000015592.16	STMN4	1	0	0	0	1	1
ENSG00000015676.18	NUDCD3	2482.001	2710	2707.999	2815.001	2236	2936.003
ENSG00000016082.15	ISL1	0	0	0	0	0	0
ENSG00000016391.11	CHDH	13	60	7	20	45	17
ENSG00000016402.13	IL20RA	0	0	0	0	0	0
ENSG00000016490.16	CLCA1	0	0	0	0	0	0
ENSG00000016602.9	CLCA4	0	1	0	0	0	0
ENSG00000016864.18	GLT8D1	1020.999	1369.999	1178.002	1084	1160	1257.999
ENSG00000017260.19	ATP2C1	7887	8767.001	9489	8160.001	7661	11325
ENSG00000017427.16	IGF1	92	74	68	60	36	42
ENSG00000017483.15	SLC38A5	11	11	7	9	13	12
ENSG00000017797.13	RALBP1	6153.999	6969.97	5898.96	6460.999	5949.966	6525.999
ENSG00000018189.13	RUFY3	998.983	1204	1155.989	1281.972	1061.997	1332.001
ENSG00000018236.15	CNTN1	0	1	2	0	0	0
ENSG00000018280.17	SLC11A1	70060.996	75446.985	53065.99	94294.99	71008.995	76755.929
ENSG00000018408.14	WWTR1	9	7	1	7	13	1
ENSG00000018510.16	AGPS	5394	5505.999	6021	5796	5275.999	6988
